AS ON 01/08/2024
ALLAHABAD HIGH COURT
Approved Judge Strength: 160 [Pmt. 119 Addl. 41]
(List of Judges arranged according to date of initial appointment)
Sl Name of the Judge Source Date of Date of Date of Remarks
No S/Shri Justice Appointment as Appointment Retirement
Addl. Judge as Pmt. Judge
nameofthejudges,source,dateofappointmentofaddl.judges,dateofappointmentaspmtjudges,dateofreteriment,remark
ARUN BHANSALI,BAR,08/01/2013,07/01/2015,14/10/2029,"CJ w.e.f. 05.02.2024 (PHC: Rajasthan)"
MANOJ KUMAR GUPTA,BAR,12/04/2013,10/04/2015,08/10/2026,
ANJANI KUMAR MISHRA,BAR,12/04/2013,10/04/2015,16/05/2025,
MAHESH CHANDRA TRIPATHI,BAR,27/09/2013,10/04/2015,20/06/2028,
VIVEK KUMAR BIRLA,BAR,03/02/2014,01/02/2016,17/09/2025,
ATTAU RAHMAN MASOODI,BAR,03/02/2014,01/02/2016,02/08/2025,
ASHWANI KUMAR MISHRA,BAR,03/02/2014,01/02/2016,15/11/2030,
RAJAN ROY,BAR,03/02/2014,01/02/2016,14/08/2027,
SIDDHARTHA VARMA,BAR,15/11/2016,23/03/2018,18/09/2029,
SMT. SANGEETA CHANDRA,BAR,15/11/2016,23/03/2018,22/04/2030,
VIVEK CHAUDHARY,BAR,20/02/2017,14/03/2018,12/05/2028,
SAUMITRA DAYAL SINGH,BAR,20/02/2017,14/03/2018,19/12/2031,
ARVIND SINGH SANGWAN [H],BAR,10/07/2017,03/12/2018,22/12/2024,"Joined on 02/11/2023 (PHC: P&H)"
SHEKHAR B. SARAF,BAR,21/09/2017,16/09/2019,20/10/2033,"Joined on 17.11.2023 (PHC: Calcutta)"
SALIL KUMAR RAI,BAR,22/09/2017,06/09/2019,07/08/2027,
JAYANT BANERJI,BAR,22/09/2017,06/09/2019,16/01/2027,
RAJESH SINGH CHAUHAN,BAR,22/09/2017,06/09/2019,17/07/2028,
IRSHAD ALI,BAR,22/09/2017,18/03/2020,11/12/2026,
SARAL SRIVASTAVA,BAR,22/09/2017,06/09/2019,28/10/2026,
JAHANGIR JAMSHED MUNIR,BAR,22/09/2017,06/09/2019,22/08/2029,
RAJIV GUPTA,BAR,22/09/2017,06/09/2019,21/10/2028,
SIDDHARTH,BAR,22/09/2017,06/09/2019,14/04/2027,
AJIT KUMAR,BAR,22/09/2017,06/09/2019,21/12/2030,
RAJNISH KUMAR,BAR,22/09/2017,06/09/2019,09/08/2031,
ABDUL MOIN,BAR,22/09/2017,06/09/2019,31/10/2030,
RAJEEV MISRA,BAR,22/09/2017,06/09/2019,26/01/2031,
AJAY BHANOT,BAR,22/09/2017,06/09/2019,03/08/2031,
NEERAJ TIWARI,BAR,22/09/2017,21/09/2019,08/07/2026,
MANOJ BAJAJ [H],BAR,29/10/2018,11/09/2020,22/06/2028,"Joined on 24/07/2023 (PHC: P&H)"
PRAKASH PADIA,BAR,22/11/2018,20/11/2020,09/03/2027,
ALOK MATHUR,BAR,22/11/2018,20/11/2020,15/11/2026,
PANKAJ BHATIA,BAR,22/11/2018,20/11/2020,14/09/2028,
SAURABH LAVANIA,BAR,22/11/2018,20/11/2020,16/04/2028,
VIVEK VARMA,BAR,22/11/2018,20/11/2020,28/12/2031,
SANJAY KUMAR SINGH,BAR,22/11/2018,20/11/2020,20/01/2031,
PIYUSH AGRAWAL,BAR,22/11/2018,20/11/2020,05/11/2033,
SAURABH SHYAM SHAMSHERY,BAR,22/11/2018,20/11/2020,03/02/2031,
JASPREET SINGH,BAR,22/11/2018,20/11/2020,28/08/2033,
RAJEEV SINGH,BAR,22/11/2018,20/11/2020,02/04/2030,
SMT. MANJU RANI CHAUHAN,BAR,22/11/2018,20/11/2020,28/08/2028,
KARUNESH SINGH PAWAR,BAR,22/11/2018,20/11/2020,18/05/2033,
DR . YOGENDRA KUMAR SRIVASTAVA,BAR,22/11/2018,20/11/2020,29/12/2027,
MANISH MATHUR,BAR,22/11/2018,20/11/2020,08/06/2034,
ROHIT RANJAN AGARWAL,BAR,22/11/2018,20/11/2020,04/07/2033,
MOHD. FAIZ ALAM KHAN,SERVICE,22/11/2018,20/11/2020,25/01/2025,
NARENDRA KUMAR JOHARI,SERVICE,22/11/2018,20/11/2020,19/10/2024,
RAJ BEER SINGH,SERVICE,22/11/2018,20/11/2020,05/12/2026,
VIPIN CHANDRA DIXIT,BAR,12/12/2019,26/03/2021,30/06/2025,
SHEKHAR KUMAR YADAV,BAR,12/12/2019,26/03/2021,15/04/2026,
DEEPAK VERMA,BAR,12/12/2019,26/03/2021,29/03/2027,
DR. GAUTAM CHOWDHARY,BAR,12/12/2019,26/03/2021,08/11/2026,
SHAMIM AHMED,BAR,12/12/2019,26/03/2021,07/03/2028,
DINESH PATHAK,BAR,12/12/2019,26/03/2021,06/01/2034,
MANISH KUMAR,BAR,12/12/2019,26/03/2021,15/09/2032,
SAMIT GOPAL,BAR,12/12/2019,26/03/2021,29/12/2033,
DONADI RAMESH,BAR,--,13/01/2020,26/06/2027,"Joined on 24/07/2023 (PHC: AP)"
SANJAY KUMAR PACHORI,SERVICE,16/09/2020,21/06/2022,28/02/2027,
SUBHASH CHANDRA SHARMA,SERVICE,16/09/2020,21/06/2022,03/10/2026,
AJAI KUMAR SRIVASTAVA-I,SERVICE,25/03/2021,21/06/2022,31/05/2025,
CHANDRA KUMAR RAI,BAR,13/10/2021,13/03/2023,14/10/2027,
KRISHAN PAHAL,BAR,13/10/2021,13/03/2023,22/06/2030,
SAMEER JAIN,BAR,13/10/2021,13/

ADDITIONAL JUDGES
Sl. Name of Additional Judge Date of Birth Source Date of initial Date of Remarks
No. S/Shri Justice appointment expiry of
present term
Syed Qamar Hasan Rizvi,19/11/1967,BAR,07/02/2023,06/02/2025
Manish Kumar Nigam,15/06/1967,BAR,07/02/2023,06/02/2025
Anish Kumar Gupta,03/01/1974,BAR,07/02/2023,06/02/2025
Ms. Nand Prabha Shukla,30/06/1973,BAR,07/02/2023,06/02/2025
Kshitij Shailendra,14/07/1975,BAR,07/02/2023,06/02/2025
Vinod Diwakar,15/09/1976,BAR,07/02/2023,06/02/2025
Prashant Kumar,30/05/1967,BAR,27/02/2023,26/02/2025
Manjive Shukla,08/11/1971,BAR,27/02/2023,26/02/2025
Arun Kumar Singh Deshwal,07/07/1973,BAR,27/02/2023,26/02/2025
Sl. Name of the Judge Source Date of Date of Date of Remarks
No. S/Shri Justice Appointment Appointment Retirement
as Addl. As Pmt.
Judge Judge/
Expiry of
tenure
Ramesh Sinha,BAR,21/11/2011,06/08/2013,04/09/2026,CJ of Chhattisgarh
Smt. Sunita Agarwal,BAR,21/11/2011,06/08/2013,29/04/2028,CJ of Gujarat
Devendra Kumar Upadhyaya,BAR,21/11/2011,06/08/2013,15/06/2027,CJ of Bombay
Yashwant Varma,BAR,13/10/2014,01/02/2016,05/01/2031,Transferred to Delhi
Chandra Dhari Singh,BAR,22/09/2017,06/09/2019,11/07/2031,Transferred to Delhi
Dinesh Kumar Singh,BAR,22/09/2017,06/09/2019,17/08/2028,Transferred to Kerala
Vivek Kumar Singh,BAR,22/09/2017,06/09/2019,24/03/2030,Transferred to Madras
Ravi Nath Tilhari,BAR,12/12/2019,26/03/2021,08/02/2031,Transferred to AP
Subhash Chand,SERVICE,16/09/2020,22/06/2022,31/12/2024,Transferred to Jharkhand
""
