AS ON 01/08/2024
ANDHRA PRADESH HIGH COURT
Approved Judge Strength: 37 [Pmt.: 28 Addl.: 09]
(List of Judges arranged according to date of initial appointment)
Sl. Name of the Judge Source Date of Date of Date of
No. S/Shri Justice Appointment Appointment Retirement Remarks
as Addl. as Pmt.
Judge Judge
Name,Type,Date of Appointment,Date of Confirmation,End of Tenure,Additional Information
Dhiraj Singh Thakur,BAR,--,08/03/2013,24/04/2026,CJ w.e.f. 28.07.23 (PHC: J&K and Ladakh)
Upmaka Durga Prasad Rao,SERVICE,23/10/2013,02/03/2016,11/08/2024,
Guhanathan Narendar,BAR,02/01/2015,30/12/2017,09/01/2026,Joined on 30/10/23 (PHC: Karnataka)
Ravi Nath Tilhari,BAR,12/12/2019,26/03/2021,08/02/2031,Joined on 18/10/2021 (PHC: Allahabad)
Rao Raghunandan Rao,BAR,--,13/01/2020,29/06/2026,
Ninala Jayasurya,BAR,--,13/01/2020,26/08/2030,
Boppudi Krishna Mohan,BAR,--,02/05/2020,04/02/2027,
Kancharireddy Suresh Reddy,BAR,--,02/05/2020,06/12/2026,
Dr. K. Manmadha Rao,BAR,--,08/12/2021,12/06/2028,
Kumari Boddupalli Sri BhanuMathi,SERVICE,--,08/12/2021,30/01/2030,
Konakanti Sreenivasa Reddy @ Srinivasa Reddy,BAR,--,14/02/2022,02/06/2028,
Gannamaneni Ramakrishna Prasad,BAR,--,14/02/2022,27/05/2026,
Venkateswarlu Nimmagadda,BAR,--,14/02/2022,30/06/2029,
Tarlada Rajasekhar Rao,BAR,--,14/02/2022,02/08/2029,
Satti Subba Reddy,BAR,--,14/02/2022,04/02/2032,
Ravi Cheemalapati,BAR,--,14/02/2022,03/12/2029,
Smt. Vaddiboyana Sujatha,BAR,--,14/02/2022,09/09/2028,
Dr. V. Radha Krishna Krupa Sagar,SERVICE,--,04/08/2022,18/06/2025,
Syamsunder Bandaru,SERVICE,--,04/08/2022,30/08/2024,
Srinivas Vutukuru,SERVICE,--,04/08/2022,17/04/2026,
B.V.L.N. Chakravarthi,SERVICE,04/08/2022,14/03/2024,14/08/2026,
T. Mallikarjuna Rao,SERVICE,04/08/2022,14/03/2024,18/01/2026,

Additional Judges
Sl. Name of Additional Judge Date of Source Date of initial Date of expiry Remarks
No. Birth appointment of present term
Smt. P. Venkata Jyothirmai,01/08/1972,SERVICE,27/01/2023,26/01/2025
V. Gopala Krishna Rao,30/08/1964,SERVICE,27/01/2023,26/01/2025
Harinath Nunepally,12/01/1972,BAR,21/10/2023,20/10/2025
Smt. Kiranmayee Mandava @ Kiranmayee Kanaparthy,30/07/1970,BAR,21/10/2023,20/10/2025
Smt. Sumathi Jagadam,28/06/1971,BAR,21/10/2023,20/10/2025
Nyapathy Vijay,08/08/1974,BAR,21/10/2023,20/10/2025
JUDGES TRANSFERRED FROM HIGH COURT OF ANDHRA PRADESH
Sl. Name of the Judge Source Date of Date of Date of Remarks
No. S/Shri Justice Appointment Appointment Retiremen
as As Pmt. t
Addl. Judge
Judge
Cheekati Manavendranath Roy,SERVICE,--,20/06/2019,20/05/2026,Transferred to Gujarat
Smt. Lalitha Kanneganti,BAR,--,02/05/2020,04/05/2033,Transferred to Karnataka
Battu Devanand,BAR,--,13/01/2020,13/04/2028,Transferred to Madras
Donadi Ramesh,BAR,--,13/01/2020,26/06/2027,Transferred to Allahabad
Duppala Venkata Ramana,SERVICE,04/08/2022,13/03/2024,02/06/2025,Transferred to MP
""
