AS ON 01/08/2024
BOMBAY HIGH COURT
Approved Judge Strength: 94 [Pmt.: 71 Addl.: 23]
(List of Judges arranged according to date of initial appointment)
Sl. Name of the Judge Source Date of Date of Date of
No. S/Shri Justice Appointment Appointment Retirement Remarks
as Addl. as Pmt. Judge
Judge
DEVENDRA KUMAR UPADHYAYA,BAR,21/11/2011,06/08/2013,15/06/2027,"CJ w.e.f. 29/07/2023 (PHC: Allahabad)"
NITIN MADHUKAR JAMDAR,BAR,23/01/2012,16/12/2013,09/01/2026,
SHRIRAM KALPATHI RAJENDRAN,BAR,21/06/2013,02/03/2016,27/09/2025,
ATUL SHARACHCHANDRA CHANDURKAR,BAR,21/06/2013,02/03/2016,06/04/2027,
SMT. REVATI PRASHANT MOHITE DERE,BAR,21/06/2013,02/03/2016,16/04/2027,
MAHESH SHARADCHANDRA SONAK,BAR,21/06/2013,02/03/2016,27/11/2026,
RAVINDRA VITHALRAO GHUGE,BAR,21/06/2013,02/03/2016,08/07/2028,
AJEY SHRIKANT GADKARI,BAR,06/01/2014,02/03/2016,13/06/2027,
NITIN WASUDEO SAMBRE,BAR,06/01/2014,02/03/2016,18/12/2029,
GIRISH SHARADCHANDRA KULKARNI,BAR,06/01/2014,02/03/2016,23/06/2030,
BURGESS PESI COLABAWALLA,BAR,06/01/2014,02/03/2016,15/12/2029,
MAKARAND SUBHASH KARNIK,BAR,17/03/2016,13/03/2018,09/02/2031,
SMT. BHARATI HARISH DANGRE,BAR,05/06/2017,12/04/2019,09/05/2030,
SARANG VIJAYKUMAR KOTWAL,BAR,05/06/2017,12/04/2019,12/04/2030,
RIYAZ IQBAL CHAGLA,BAR,05/06/2017,12/04/2019,21/10/2031,
MANISH PITALE,BAR,05/06/2017,12/04/2019,10/09/2032,
MANGESH SHIVAJIRAO PATIL,SERVICE,05/06/2017,12/04/2019,26/07/2025,
PRITHVIRAJ KESHAVRAO CHAVAN,SERVICE,05/06/2017,12/04/2019,21/02/2025,
SMT. VIBHA VASANT KANKANWADI,SERVICE,05/06/2017,12/04/2019,23/06/2026,
SHRIRAM MADHUSUDAN MODAK,SERVICE,11/10/2018,14/09/2020,12/11/2027,
JAMADAR NIJAMODDIN JAHIRODDIN,SERVICE,11/10/2018,14/09/2020,21/09/2034,
VINAY GAJANAN JOSHI,SERVICE,11/10/2018,14/09/2020,13/11/2024,
AVACHAT RAJENDRA GOVIND,SERVICE,11/10/2018,14/09/2020,14/03/2026,
AVINASH GUNWANT GHAROTE,BAR,23/08/2019,01/06/2021,16/05/2025,
NITIN BHAGAWANTRAO SURYAWANSHI,BAR,23/08/2019,01/06/2021,29/05/2027,
ANIL SATYAVIJAY KILOR,BAR,23/08/2019,01/06/2021,02/09/2028,
MILIND NARENDRA JADHAV,BAR,23/08/2019,01/06/2021,13/08/2031,
SMT. MUKULIKA SHRIKANT JAWALKAR,SERVICE,05/12/2019,01/06/2021,25/05/2026,
NITIN RUDRASEN BORKAR,SERVICE,05/12/2019,01/06/2021,01/08/2033,
MADHAV JAYAJIRAO JAMDAR,BAR,07/01/2020,05.01.2022,12/01/2029,
AMIT BHALCHANDRA BORKAR,BAR,14/01/2020,05.01.2022,01/01/2034,
RAJESH NARAYANDAS LADDHA,SERVICE,25/06/2021,09/03/2023,26/04/2026,
SANJAY GANPATRAO MEHARE,SERVICE,25/06/2021,09/03/2023,22/03/2025,
GOVINDA ANANDA SANAP,SERVICE,25/06/2021,09/03/2023,23/02/2025,
SHIVKUMAR GANPATRAO DIGE,SERVICE,25/06/2021,09/03/2023,02/08/2033,
ANIL L. PANSARE,SERVICE,14/10/2021,04/08/2023,13/11/2027,
SANDIPKUMAR CHANDRABHAN MORE,SERVICE,14/10/2021,04/08/2023,06/04/2028,
ABHAY AHUJA,BAR,04/03/2020,25/01/2024,23/08/2031,
SMT. U.S. JOSHI-PHALKE,SERVICE,06/06/2022,27/03/2024,14/04/2030,
B.P. DESHPANDE,SERVICE,06/06/2022,27/03/2024,06/12/2024,
KISHORE CHANDRAKANT SANT,BAR,19/07/2022,27/03/2024,06/10/2029,
VALMIKI MENEZES S A,BAR,19/07/2022,27/03/2024,28/07/2029,
KAMAL RASHMI KHATA,BAR,19/07/2022,27/03/2024,25/11/2031,
SMT. SHARMILA UTTAMRAO DESHMUKH,BAR,19/07/2022,27/03/2024,27/02/2030,
ARUN RAMNATH PEDNEKER,BAR,19/07/2022,27/03/2024,23/06/2033,
SANDEEP VISHNUPANT MARNE,BAR,19/07/2022,27/03/2024,08/12/2035,
SMT. GAURI VINOD GODSE,BAR,19/07/2022,27/03/2024,07/10/2034,
RAJESH SHANTARAM PATIL,BAR,19/07/2022,27/03/2024,20/07/2031,
ARIF SALEH DOCTOR,BAR,19/07/2022,27/03/2024,16/07/2034,
Y.G. KHOBRAGADE,SERVICE,07/10/2022,22/07/2024,08/05/2028,
M.W. CHANDWANI,SERVICE,07/10/2022,22/07/2024,23/05/2033,
ABHAY SOPANRAO WAGHWASE,SERVICE,07/10/2022,22/07/2024,09/12/2028,
R.M. JOSHI,SERVICE,07/10/2022,22/07/2024,28/09/2029,
SANTOSH GOVINDRAO CHAPALGAONKAR,BAR,30/11/2022,22/07/2024,03/03/2035,
MILIND MANOHAR SATHAYE,BAR,30/11/2022,22/07/2024,05/09/2036,
SMT. NEELA KEDAR GOKAHLE,BAR,30/01/2023,22/07/2024,02/05/2031,"AS ON 01/08/2024"
: 2 :
BOMBAY HIGH COURT…contd.
Additional Judges
SL. NAME OF ADDITIONAL JUDGE DATE OF SOURCE DATE OF DATE OF EXPIRY
NO. S/SHRI JUSTICE BIRTH INITIAL OF PRESENT
APPOINTMENT TERM
