AS ON 01/08/2024
CHHATTISGARH HIGH COURT
Approved Judge Strength: 22 [Pmt.: 17 Addl.: 05]
(List of Judges arranged according to date of initial appointment)
Sl. Name of the Judge Source Date of Date of Date of
No. S/Shri Justice Appointment Appointment Retirement Remarks
as Addl. as Pmt.
Judge Judge
Ramesh Sinha,BAR,21/11/2011,06/08/2013,04/09/2026,CJ w.e.f. 29.03.2023 [PHC: Allahabad]
Goutam Bhaduri,BAR,16/09/2013,08/03/2016,09/11/2024,
Sanjay Kumar Agrawal,BAR,16/09/2013,08/03/2016,14/07/2027,
Sanjay Agrawal,BAR,29/09/2016,08/01/2018,20/08/2026,
Parth Prateem Sahu,BAR,18/06/2018,11/05/2020,18/04/2033,
Smt. Rajani Dubey,SERVICE,18/06/2018,11/05/2020,29/06/2026,
Narendra Kumar Vyas,BAR,22/03/2021,15/12/2022,04/10/2032,
Naresh Kumar Chandravanshi,SERVICE,22/03/2021,15/12/2022,05/11/2027,
Deepak Kumar Tiwari,SERVICE,08/10/2021,31/07/2023,10/01/2026,
Rakesh Mohan Pandey,BAR,02/08/2022,10/05/2024,29/01/2032,
Additional Judges
Sl. Name of Additional Judge Date of Source Date of initial Date of expiry of present term
No. S/Shri Justice Birth appointment
Sachin Singh Rajput,27/01/1972,BAR,16/05/2022,17/05/2025,Extn. given for one year w.e.f. 16.05.2024
Radhakishan Agrawal,01/09/1964,SERVICE,02/08/2022,01/08/2024,Extn. given for one year w.e.f. 02.08.2024
Sanjay Kumar Jaiswal,19/06/1965,SERVICE,01/05/2023,30/04/2025,
Ravindra Kumar Agrawal,31/07/1968,BAR,20/10/2023,19/10/2025,
Arvind Kumar Verma,08/04/1964,SERVICE,23/01/2024,22/01/2026,
Judges transferred from the Chhattisgarh High Court
Sl. Name of the Judge Source Date of Date of Date of Remarks
No. S/Shri Justice Appointment Appointment retirement
as Addl. As Pmt.
Judge Judge
Manindra Mohan Shrivastava,BAR,10/12/2009,08/03/2016,05/03/2026,Transferred to Rajasthan
Puthichira Sam Koshy,BAR,16/09/2013,08/03/2016,29/04/2029,Transferred to Telangana
Arvind Singh Chandel,SERVICE,27/06/2017,02/09/2019,31/08/2025,Transferred to Patna
""
