AS ON 01/08/2024
GAUHATI HIGH COURT
Approved Judge Strength: 30 [Pmt.: 22 Addl.: 8]
(List of Judges arranged according to date of initial appointment)
Sl. Name of the Judge Source Date of Date of Date of
No. S/Shri Justice Appointment as Appointment Retirement Remarks
Addl. Judge as Pmt.
Judge
Vijay Bishnoi, BAR, 08/01/2013, 25/03/2026, CJ w.e.f. 05.02.2024 (PHC: Rajasthan)
Lanusungkum Jamir, BAR, 22/05/2013, 28/02/2026
Manash Ranjan Pathak, BAR, 22/05/2013, 27/08/2027
Michael Zothankhuma, BAR, 07/01/2015, 22/10/2027
Suman Shyam, BAR, 07/01/2015, 11/06/2031
Kalyan Rai Surana, BAR, 15/11/2016, 12/12/2027
Nelson Sailo, BAR, 15/11/2016, 08/10/2030
Sanjay Kumar Medhi, BAR, 19/11/2018, 06/03/2033
Manish Choudhury, BAR, 18/01/2019, 28/02/2034
Soumitra Saikia, BAR, 26/11/2019, 24/07/2031
Parthivjyoti Saikia, SERVICE, 26/11/2019, 17/04/2027
Robin Phukan, SERVICE, 21/06/2021, 28/02/2028
Kakheto Sema, BAR, 13/10/2021, 05/07/2025
Devashis Baruah, BAR, 13/10/2021, 21/02/2035
Malasri Nandi, SERVICE, 13/10/2021, 23/06/2025
Marli Vankung, SERVICE, 13/10/2021, 03/03/2026
Arun Dev Choudhury, BAR, 05/11/2021, 28/10/2033
Smt. Susmita Phukan Khaund, SERVICE, 16/08/2022, 21/11/2026
Smt. Mitali Thakuria, SERVICE, 16/08/2022, 31/12/2026
Additional Judges
Sl. Name of Additional Judge Date of Source Date of initial Date of expiry
No. S/Shri Justice Birth appointment of present
term
Kardak Ete, BAR, 08/04/1975, 13/03/2025
Mridul Kumar Kalita, SERVICE, 02/07/1968, 19/04/2025
Budi Habung, SERVICE, 06/04/1969, 11/09/2025
N. Unni Krishnan Nair, BAR, 28/07/1971, 09/11/2025
Kaushik Goswami, BAR, 04/09/1975, 09/11/2025
Judges transferred from the Gauhati High Court
Sl. Name of the Judge Source Date of Date of Date of Remarks
No. S/Shri Justice Appointment as Appointment retirement
Addl. Judge As Pmt. Judge
Nani Tagia, BAR, 19/11/2018, 15/05/2031, Transferred to Patna
""
