AS ON 01/08/2024
JHARKHAND HIGH COURT
Approved Judge Strength: 25 [Pmt.: 20 Addl.: 05]
(List of Judges arranged according to date of initial appointment)
Sl. Name of the Judge Source Date of Date of Date of
No. S/Shri Justice Appointment Appointment Retirement Remarks
as Addl. Judge as Pmt.
Judge
Sujit Narayan Prasad, BAR, 26/09/2014, 19/06/2029, ACJ w.e.f. 20/07/2024
Rongon Mukhopadhyay, BAR, 26/09/2014, 28/12/2029,
Ratnaker Bhengra, BAR, 17/04/2015, 04/10/2024,
Ananda Sen, BAR, 08/04/2016, 14/08/2031,
Dr. Shiva Nand Pathak, BAR, 30/09/2016, 14/01/2025,
Rajesh Shankar, BAR, 30/09/2016, 15/12/2032,
Anil Kumar Choudhary, SERVICE, 20/05/2017, 17/06/2027,
Rajesh Kumar, BAR, 06/01/2018, 25/10/2030,
Smti Anubha Rawat Choudhary, BAR, 06/01/2018, 24/06/2032,
Sanjay Kumar Dwivedi, BAR, 18/02/2019, 02/11/2027,
Deepak Roshan, BAR, 18/02/2019, 11/12/2029,
Subhash Chand, SERVICE, 16/09/2020, 31/12/2024, Joined on 26/10/2021 [PHC: Allahabad]
Gautam Kumar Choudhary, SERVICE, 08/10/2021, 15/03/2026,
Ambuj Nath, SERVICE, 08/10/2021, 23/12/2025,
Navneet Kumar, SERVICE, 08/10/2021, 19/03/2025,
Sanjay Prasad, SERVICE, 08/10/2021, 16/01/2027,
Pradeep Kumar Srivastava, SERVICE, 07/06/2022, 31/12/2027,
Arun Kumar Rai, SERVICE, 05/02/2024, 25/01/2032,
Additional Judges
Sl. Name of Additional Judge Date of Birth Source Date of initial Date of Remarks
No. S/Shri Justice appointment expiry of
present term
- - - - - -
Judges transferred from the Jharkhand High Court
Sl. Name of the Judge Source Date of Date of Date of Remarks
No. S/Shri Justice Appointment Appointment Retirement
as Addl. As Pmt. Judge
Judge
Aparesh Kumar Singh, BAR, 24/01/2012, 06/07/2027, CJ of Tripura
Shree Chandrashekhar, BAR, 17/01/2013, 24/05/2027, Transferred to Rajasthan
""
