AS ON 01/08/2024
MADRAS HIGH COURT
Approved Judge Strength: 75 [Pmt.: 56 Addl.: 19 ]
(List of Judges arranged according to date of initial appointment)
Sl. Name of the Judge Source Date of Date of Date of Remarks
No. S/Shri Justice Appointment Appointment retirement
as Addl. Judge As Pmt. Judge
D. Krishnakumar, BAR, --, 21/05/2025, ACJ w.e.f. 18/07/2024
S.S. Sundar, BAR, --, 02/05/2025
R. Subramanian, BAR, --, 24/07/2025
M. Sundar, BAR, --, 18/07/2028
R. Suresh Kumar, BAR, --, 28/05/2026
Smt. J. Nisha Banu, BAR, --, 17/09/2028
M. S. Ramesh, BAR, --, 27/12/2025
S.M. Subramaniam, BAR, --, 30/05/2027
Dr. (Smt.) Anita Sumanth, BAR, --, 14/04/2032
P. Velmurugan, SERVICE, --, 08/06/2027
Dr. G. Jayachandran, SERVICE, --, 31/03/2027
C.V. Karthikeyan, SERVICE, --, 13/12/2026
R.M.T. Teekaa Raman, SERVICE, 16/11/2016, 08/06/2025
N. Sathish Kumar, SERVICE, 16/11/2016, 05/05/2029
N. Seshasayee, SERVICE, 16/11/2016, 07/01/2025
Smt. V. Bhavani Subbaroyan, BAR, 28/06/2017, 16/05/2025
A. D. Jagadish Chandira, BAR, 28/06/2017, 14/02/2028
G.R. Swaminathan, BAR, 28/06/2017, 31/05/2030
Abdul Quddhose, BAR, 28/06/2017, 07/09/2031
M. Dhandapani, BAR, 28/06/2017, 14/04/2030
Pondicherry Daivasigamani Audikesavalu, BAR, 28/06/2017, 29/12/2032
Vivek Kumar Singh, BAR, 22/09/2017, 24/03/2030, Joined on 23/11/2023 [PHC: Allahabad]
Smt. R. Hemalatha, SERVICE, 01/12/2017, 30/04/2025
Kumari P.T. Asha, BAR, 04/06/2018, 21/08/2028
M. Nirmal Kumar, BAR, 04/06/2018, 22/11/2027
N. Anand Venkatesh, BAR, 04/06/2018, 03/07/2031
G.K. Ilanthiraiyan, BAR, 04/06/2018, 08/07/2032
Krishnan Ramasmy, BAR, 04/06/2018, 02/06/2030
C. Saravanan, BAR, 04/06/2018, 30/11/2033
B. Pugalendhi, BAR, 20/11/2018, 24/05/2029
Senthilkumar Ramamoorthy, BAR, 22/02/2019, 01/10/2028
Battu Devanand, BAR, 13/01/2020, 13/04/2028, Joined on 10/04/2023 [PHC: AP]
Mummineni Sudheer Kumar, BAR, 24/03/2022, 19/05/2031, Joined on 23/11/2023 [PHC: Telangana]
Veerasamy Sivagnanam, SERVICE, 03/12/2020, 31/05/2025
Ganesan Ilangovan, SERVICE, 03/12/2020, 04/06/2025
Sathikumar Sukumara Kurup, SERVICE, 03/12/2020, 17/07/2025
Muralishankar Kuppuraju, SERVICE, 03/12/2020, 30/05/2030
Smt. Manjula Ramaraaju Nalliah, SERVICE, 03/12/2020, 17/02/2026
Smt. Thamilselvi T. Valayapalayam, SERVICE, 03/12/2020, 18/06/2030
Smt. Sundaram Srimathi, BAR, 12/10/2021, 09/01/2029
D. Bharatha Chakravarthy, BAR, 12/10/2021, 23/07/2033
R. Vijayakumar, BAR, 12/10/2021, 21/12/2032
Mohammed Shaffiq, BAR, 12/10/2021, 05/03/2034
J. Sathya Narayana Prasad, BAR, 29/10/2021, 14/03/2031
Dr. Devaraju Nagarjun, SERVICE, 24/03/2022, 14/08/2024, Joined on 06/04/2023 [PHC: Telangana]
A.A. Nakkiran, SERVICE, 03/12/2020, 09/05/2025
Smt. Nidumolu Mala, BAR, 28/03/2022, 23/04/2029
Sivapunniyam Sounthar, BAR, 28/03/2022, 28/07/2033
Sunder Mohan, BAR, 06/06/2022, 01/11/2031
Kabali Kumaresh Babu, BAR, 06/06/2022, 13/12/2031
AS ON 01/08/2024
Additional Judges
S. Name of Additional Judge Date of Source Date of initial Date of expiry Remarks
No. S/Shri Justice Birth appointment of present
term
Smt. Lekshmana Chandra Victoria Gowri, BAR, 07/02/2023, 06/02/2025
Pillai Pakkam Bahukutumbi Balaji, BAR, 07/02/2023, 06/02/2025
Kandhasami Kulandaivelu Ramakrishnan, BAR, 07/02/2023, 06/02/2025
Ms. R. Kalaimathi, SERVICE, 07/02/2023, 06/02/2025
Smt. K. Govindaranjan Thilakavadi, SERVICE, 07/02/2023, 06/02/2025
Venkatachari Lakshminarayanan, BAR, 27/02/2023, 26/02/2025
P. Vadamalai, SERVICE, 27/03/2023, 26/03/2025
Ramasamy Sakthivel, SERVICE, 23/05/2023, 22/05/2025
P. Dhanabal, SERVICE, 23/05/2023, 22/05/2025
Chinnasamy Kumarappan, SERVICE, 23/05/2023, 22/05/2025
Kandasamy Rajasekar, SERVICE, 23/05/2023, 22/05/2025
N. Senthilkumar, BAR, 16/10/2023, 15/10/2025
G. Arul Murugan, BAR, 16/10/2023, 15/10/2025
Judges transferred from the Madras High Court
Sl. Name of the Judge Source Appointment Appointment Date of Remarks
No. S/Shri Justice as Addl. Judge As Pmt. Judge retirement
T.S. Sivagnanam, BAR, 31/03/2009, 15/09/2025 (CJ of Calcutta)
S. Vaidyanathan, BAR, 25/10/2013, 16/08/2024 (CJ of Meghalaya)
Subramonium Prasad, BAR, 04/06/2018, 21/06/2029 (Transferred to Delhi)
""
