AS ON 01/08/2024
PATNA HIGH COURT
Approved Judge Strength: 53 [Pmt.: 40 Addl.: 13 ]
(List of Judges arranged according to date of initial appointment)
Sl Name of the Judge Source Date of Date of Date of Remarks
No S/Shri Justice Appointment as Appointment retirement
Addl. Judge As Pmt. Judge
Krishnan Vinod Chandran, BAR, 08/11/2011, 24/04/2025 (CJ w.e.f. 29.03.2023, PHC: Kerala)
Ashutosh Kumar, BAR, 15/05/2014, 30/09/2028
Vipul Manubhai Pancholi, BAR, 01/10/2014, 27/05/2030 (Joined on 24/07/2023, PHC: Gujarat)
Pavan Kumar Bhimappa Bajanthri, BAR, 02/01/2015, 22/10/2025 (Joined on 20/10/2021, PHC: Karnataka)
Ranjeev Ranjan Prasad, BAR, 22/05/2017, 04/09/2028
Mohit Kumar Shah, BAR, 22/05/2017, 25/04/2031
Arvind Singh Chandel, SERVICE, 27/06/2017, 31/08/2025 (Joined on 08.06.2024, PHC: Chhattisgarh)
Bibek Chaudhuri, SERVICE, 12/10/2018, 31/10/2026 (Joined on 24/11/2023, PHC: Calcutta)
Nanit Tagia, BAR, 19/11/2018, 15/05/2031 (Joined on 01.11.2023, PHC: Gauhati)
Anjani Kumar Sharan, BAR, 17/04/2019, 09/04/2025
Anil Kumar Sinha, BAR, 17/04/2019, 18/06/2027
Prabhat Kumar Singh, BAR, 17/04/2019, 01/01/2029
Partha Sarthy, BAR, 17/04/2019, 21/10/2031
Anireddy Abhishek Reddy, BAR, 26/08/2019, 06/11/2029 (Joined on 15.05.2023, PHC: Telangana)
Nawneet Kumar Pandey, SERVICE, 07/10/2021, 28/02/2026
Sunil Kumar Panwar, SERVICE, 07/10/2021, 14/08/2024
Sandeep Kumar, BAR, 20/10/2021, 19/01/2029
Purnendu Singh, BAR, 20/10/2021, 03/02/2029
Satyavrat Verma, BAR, 20/10/2021, 05/12/2030
Rajesh Kumar Verma, BAR, 20/10/2021, 11/12/2031
Gunnu Anupama Chakravarthy, SERVICE, 24/03/2022, 20/03/2032 (Joined on 01.11.2023, PHC: Telangana)
Rajiv Roy, BAR, 29/03/2022, 31/10/2027
Harish Kumar, BAR, 29/03/2022, 09/01/2037
Shailendra Singh, SERVICE, 04/06/2022, 03/06/2034
Arun Kumar Jha, SERVICE, 04/06/2022, 16/10/2033
Jitendra Kumar, SERVICE, 04/06/2022, 01/11/2031
Alok Kumar Pandey, SERVICE, 04/06/2022, 31/08/2033
Sunil Dutta Mishra, SERVICE, 04/06/2022, 19/12/2029
Chandra Prakash Singh, SERVICE, 04/06/2022, 22/12/2025
Chandra Shekhar Jha, SERVICE, 04/06/2022, 31/12/2030
Khatim Reza, BAR, 05/06/2022, 04/12/2028
Dr. Anshuman, BAR, 05/06/2022, 10/06/2031
Rudra Prakash Mishra, SERVICE, 04/11/2023, 14/02/2034
Ramesh Chand Malviya, SERVICE, 04/11/2023, 30/06/2027
Additional Judges
Sl. Name of Additional Judge Date of Source Date of initial Date of expiry
No. S/Shri Justice Birth appointment of present term
- - - - -
Judges transferred from the Patna High Court
Sl. Name of the Judge Source Date of Date of Date of Remarks
No. S/Shri Justice Appointment Appointment retirement
as Addl. As Pmt. Judge
Judge
Chakradhari Sharan Singh, BAR, 05/04/2012, 19/01/2025 (CJ of Orissa)
Sudhir Singh, BAR, 15/04/2015, 10/12/2027 (Transferred to P&H)
Birendra Kumar, SERVICE, 16/11/2016, 22/05/2025 (Transferred to Rajasthan)
Madhuresh Prasad, BAR, 22/05/2017, 01/10/2030 (Transferred to Calcutta)
""
