AS ON 01/08/2024
RAJASTHAN HIGH COURT
Approved Judge Strength: 50 [ Pmt.: 38 Addl.: 12 ]
(List of Judges arranged according to date of initial appointment)
Sl. Name of the Judge Source Date of Date of Date of Remarks
No. S/Shri Justice Appointment Appointment retirement
as Addl. Judge as Pmt.
Judge
M.A. Nindra Mohan Shrivastava, BAR, 10/12/2009, 05/03/2026, CJ w.e.f. 06/02/2024 [PHC: Chhattisgarh]
Shree Chandrashekhar, BAR, 17/01/2013, 24/05/2027, Joined on 05/07/2024 [PHC: Jharkhand]
Pankaj Bhandari, SERVICE, 11/04/2016, 22/01/2025
Dr. Pushpendra Singh Bhati, BAR, 16/11/2016, 20/09/2032
Dinesh Mehta, BAR, 16/11/2016, 27/01/2030
Vinit Kumar Mathur, BAR, 16/11/2016, 30/03/2032
Birendra Kumar, SERVICE, 16/11/2016, 22/05/2025, Joined on 03/01/2022 [PHC: Patna]
Manoj Kumar Garg, BAR, 16/05/2017, 18/11/2025
Inderjeet Singh, BAR, 16/05/2017, 24/07/2027
Avneesh Jhingan, BAR, 10/07/2017, 28/01/2031, Joined on 01/11/2023 [PHC: P&H]
Arun Monga, BAR, 29/10/2018, 20/12/2030, Joined on 01/11/2023 [PHC: P&H]
Narendra Singh Dhaddha, SERVICE, --, 02/09/2025
Mahendar Kumar Goyal, BAR, --, 22/03/2029
Munnuri Laxman, SERVICE, --, 23/12/2027, Joined on 01/11/2023 [PHC: Telangana]
Farjand Ali, BAR, --, 14/12/2030
Sudesh Bansal, BAR, --, 04/05/2034
Anoop Kumar Dhand, BAR, --, 16/03/2035
Vinod Kumar Bharwani, SERVICE, --, 08/07/2028
Madan Gopal Vyas, SERVICE, --, 25/01/2025
Uma Shanker Vyas, SERVICE, 29/10/2021, 15/06/2028
Rekha Borana, BAR, 29/10/2021, 01/12/2035
Sameer Jain, BAR, 29/10/2021, 04/03/2036
Kuldeep Mathur, BAR, --, 09/12/2032
Shubha Mehta, SERVICE, --, 04/07/2028
Ganesh Ram Meena, BAR, --, 24/03/2028
Anil Kumar Upman, BAR, --, 17/09/2033
Nupur Bhati, BAR, --, 11/02/2033
Rajendra Prakash Soni, SERVICE, --, 29/11/2027
Ashok Kumar Jain, SERVICE, --, 22/10/2029
Yogendra Kumar Purohit, SERVICE, --, 28/10/2027
Bhuvan Goyal, SERVICE, --, 25/03/2027
Praveer Bhatnagar, SERVICE, --, 10/10/2027
Ashutosh Kumar, SERVICE, --, 24/12/2029
Additional Judges
Sl. Name of Additional Judge Date of Birth Source of Date of initial Date of Remarks
No. S/Shri Justice Recruitment appointment expiry of
present term
-Nil-
JUDGES TRANSFERRED FROM RAJASTHAN HIGH COURT
Sl. Name of the Judge Source Date of Date of Date of Remarks
No. S/Shri Justice Appointment Appointment retirement
as Addl. As Pmt. Judge
Judge
Vijay Bishnoi, BAR, 08/01/2013, 25/03/2026, CJ of Gauhati
Arun Bhansali, BAR, 08/01/2013, 14/10/2029, CJ of Allahabad
Sanjeev Prakash Sharma, BAR, 16/11/2016, 26/09/2026, Transferred to P&H
""
